area_name,latitude,longitude,total_routes,grade_distribution,type_distribution,bbox,depth,is_leaf,url
Marquesas Islands,-9.34412440000,-139.28082960000,1,"{""5.9"": 1}",{},"-6.9477443,-142.4349183,-11.7405045,-136.1267409",3,0,https://www.thecrag.com/en/climbing/polynesia/area/4293362178
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/polynesia/area/2903171157
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/polynesia/area/1732440318
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/arctic-region/area/1046764965
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/arctic-region/area/1049522490
Tasermiut Fjord,60.29397944982,-44.79794395851,16,"{""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1, ""5.12c"": 1, ""5.13a"": 1}","{""Alpine"": {""count"": 3, ""pct"": ""75.0%""}, ""Aid"": {""count"": 1, ""pct"": ""25.0%""}}","60.5748254,-45.3378296,60.0085981,-44.2858887",3,0,https://www.thecrag.com/en/climbing/arctic-region/area/219331344
Ukallit Qaqqaat bouldering field,60.71525592515,-46.06448557326,3,{},"{""Bouldering"": {""count"": 1, ""pct"": ""100.0%""}}","60.7165492,-46.0673863,60.7143031,-46.0620219",3,0,https://www.thecrag.com/en/climbing/arctic-region/area/8344303371
Ulamertorsuaq,60.37395585000,-44.53795405000,10,"{""5.10d"": 1, ""5.11b"": 1, ""5.11d"": 1, ""5.12b"": 1, ""5.12d"": 1, ""5.13b"": 1}",{},"60.3865149,-44.566364,60.3613968,-44.5095441",3,0,https://www.thecrag.com/en/climbing/arctic-region/area/715715937
Upernavik Archipelago,72.52851173916,-55.64512992324,9,"{""5.10d"": 1, ""5.11b"": 1, ""5.11d"": 1, ""5.12b"": 1, ""5.12d"": 1, ""5.13b"": 1}","{""Trad"": {""count"": 1, ""pct"": ""50.0%""}, ""Aid"": {""count"": 1, ""pct"": ""50.0%""}}","72.7923093,-56.2197898,72.6409416,-55.5633567",3,0,https://www.thecrag.com/en/climbing/arctic-region/area/1047332874
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/arctic-region/area/3733426362
Oqaatsut Wall,69.32555020000,-50.99283240000,1,{},{},"69.3769443,-51.1178019,69.2741561,-50.8678629",3,0,https://www.thecrag.com/en/climbing/arctic-region/area/7309336956
