area_name,latitude,longitude,total_routes,grade_distribution,type_distribution,bbox,depth,is_leaf,url
Arcalís,42.62366072770,1.48592773333,2,"{""5.8"": 1, ""5.9"": 1}",{},"42.623937,1.4855308,42.6233804,1.4863354",2,0,https://www.thecrag.com/en/climbing/europe/area/1846830960
Agulles d’Engolasters,42.51591105000,1.57330830000,17,{},{},"42.5160336,1.5731487,42.5157885,1.5734679",2,0,https://www.thecrag.com/en/climbing/europe/area/1846830816
Boulder de Coll Jovell,42.51037745000,1.56916200000,41,{},"{""Sport"": {""count"": 5, ""pct"": ""100.0%""}}","42.5104644,1.5690413,42.5102905,1.5692827",2,0,https://www.thecrag.com/en/climbing/europe/area/1846830768
El Carcamanyà,42.52352707946,1.56324357518,9,{},{},"42.5239637,1.5626013,42.5230939,1.5638781",2,0,https://www.thecrag.com/en/climbing/europe/area/3435653790
L'Avet,42.50193662174,1.55485881909,15,{},{},"42.5022075,1.5545467,42.5016775,1.555185",2,0,https://www.thecrag.com/en/climbing/europe/area/10788899148
Riu Urina,42.55926335000,1.58391725000,12,{},{},"42.5593404,1.5837865,42.5591863,1.584048",2,0,https://www.thecrag.com/en/climbing/europe/area/1846830912
Mur Cascada de Les Moles,42.57222682861,1.61535414431,4,{},{},"42.5723749,1.6150144,42.5720835,1.6155522",2,0,https://www.thecrag.com/en/climbing/europe/area/4621849542
Mirador de Palomera,42.48896956667,1.51578220000,22,{},{},"42.4890228,1.515651,42.4888903,1.5158729",2,0,https://www.thecrag.com/en/climbing/europe/area/14169482097
Maja e Papingut,40.14174276667,20.44423349046,0,{},{},"40.1697361,20.4000516,40.1125206,20.4886289",2,0,https://www.thecrag.com/en/climbing/albania/area/1407119703
Norðradalur,62.04975699586,-6.95426487618,26,{},{},"62.0508465,-6.9588907,62.0480073,-6.9482907",2,0,https://www.thecrag.com/en/climbing/europe/area/5339106918
Le Pulec,49.24495299838,-2.25119475056,6,{},"{""Bouldering"": {""count"": 1, ""pct"": ""100.0%""}}","49.2471621,-2.2535527,49.2427457,-2.2487696",2,0,https://www.thecrag.com/en/climbing/europe/area/5367197436
Berim,42.90057440000,20.58089690000,10,{},{},"42.9047241,20.5716272,42.8964247,20.5901666",2,0,https://www.thecrag.com/en/climbing/europe/area/4638291519
Athens,37.9896737,23.60347665,2102,{},"{""Sport"": {""count"": 21, ""pct"": ""87.5%""}, ""Trad"": {""count"": 3, ""pct"": ""12.5%""}}","38.341264,23.1093038,37.6380834,24.0976495",2,0,https://www.thecrag.com/en/climbing/greece/area/11882521
